group,age,income,credit_score,debt_ratio,employment_years,approved
Group_B,26,56319.81,768,0.627,5.1,1
Group_A,29,57565.42,814,0.165,7.7,1
Group_A,53,78064.2,737,0.548,9.2,1
Group_B,45,101998.4,665,0.369,6.5,1
Group_A,33,63461.09,740,0.351,6.9,1
Group_A,29,95227.15,713,0.21,5.0,1
Group_A,33,55654.54,715,0.436,0.7,1
Group_A,51,77135.29,692,0.194,5.3,1
Group_A,31,79820.8,616,0.106,3.3,1
Group_A,24,52620.71,608,0.229,3.3,0
Group_B,54,46552.59,673,0.428,11.7,1
Group_A,58,80617.01,690,0.291,9.8,1
Group_A,24,50431.98,632,0.224,0.0,0
Group_B,58,43901.7,710,0.249,1.7,1
Group_A,39,47688.73,826,0.575,4.5,1
Group_B,26,50358.96,558,0.145,3.4,0
Group_A,54,75419.11,721,0.366,7.3,1
Group_A,38,69270.77,675,0.572,1.0,1
Group_A,33,72881.85,712,0.428,9.8,1
Group_A,43,67584.84,650,0.041,5.8,1
Group_A,39,49310.88,670,0.115,4.6,1
Group_A,31,72547.85,689,0.343,5.9,1
Group_A,21,81284.17,659,0.325,4.3,1
Group_A,44,70521.06,574,0.113,0.0,1
Group_A,27,68093.81,664,0.11,6.0,1
Group_A,45,46193.02,581,0.603,4.7,1
Group_A,41,63812.71,726,0.681,2.2,1
Group_B,35,45235.66,549,0.383,10.4,0
Group_B,21,59567.5,752,0.239,8.7,1
Group_A,32,30475.2,710,0.491,15.8,1
Group_B,27,30613.95,710,0.319,9.3,0
Group_B,35,56561.14,528,0.229,3.4,0
Group_A,41,50128.09,657,0.361,2.4,0
Group_B,39,61922.17,761,0.196,4.0,1
Group_B,49,57574.17,644,0.169,3.3,1
Group_A,45,60543.43,605,0.266,6.4,1
Group_A,53,70954.93,635,0.294,0.0,1
Group_B,52,51661.16,675,0.056,8.6,1
Group_B,55,56050.01,620,0.394,6.4,0
Group_A,58,86190.38,766,0.138,8.1,1
Group_A,46,60055.51,675,0.267,1.4,1
Group_A,31,56774.21,641,0.387,7.0,1
Group_A,55,61485.23,589,0.605,11.2,0
Group_B,28,57095.44,714,0.111,2.6,1
Group_A,34,47227.7,712,0.22,2.4,1
Group_A,30,42035.46,625,0.243,8.8,1
Group_B,22,46258.24,523,0.37,2.1,0
Group_A,29,75712.55,709,0.451,5.1,1
Group_A,23,48661.71,667,0.339,11.9,1
Group_B,41,57211.36,704,0.37,2.5,1
Group_B,46,72613.25,817,0.02,12.2,1
Group_B,28,54988.96,678,0.112,4.7,1
Group_B,22,71400.5,644,0.202,1.5,1
Group_A,26,32265.73,600,0.24,8.4,0
Group_A,48,57614.7,658,0.143,6.4,0
Group_B,49,61420.13,691,0.106,6.1,1
Group_A,46,60416.5,684,0.293,2.9,1
Group_A,45,30247.46,801,0.214,6.4,1
Group_A,32,81656.03,715,0.241,0.0,1
Group_A,25,44615.89,671,0.03,6.9,1
Group_A,54,66030.67,631,0.245,11.2,1
Group_A,57,60143.36,699,0.046,0.0,1
Group_A,35,78066.77,617,0.231,4.4,1
Group_A,56,99374.8,693,0.202,2.5,1
Group_B,35,36773.44,714,0.169,0.0,1
Group_B,43,48319.55,665,0.077,0.0,1
Group_B,26,63403.66,636,0.526,1.3,0
Group_B,41,40103.64,527,0.249,5.0,0
Group_A,43,74079.29,760,0.161,10.6,1
Group_A,36,75180.71,708,0.278,0.0,1
Group_B,35,70070.08,710,0.081,7.2,1
Group_B,45,64258.47,571,0.286,6.9,1
Group_B,56,84654.76,777,0.102,12.7,1
Group_A,31,39198.74,647,0.027,8.3,1
Group_A,35,61174.83,660,0.079,8.5,1
Group_A,24,46701.55,605,0.492,8.8,1
Group_A,41,76018.49,555,0.04,2.3,1
Group_B,33,26999.86,761,0.079,3.7,0
Group_B,42,59494.49,770,0.025,10.5,1
Group_A,39,66034.3,668,0.229,0.0,1
Group_B,54,42945.14,632,0.072,3.3,1
Group_B,34,48728.58,654,0.025,0.7,1
Group_A,24,60276.82,656,0.555,6.9,1
Group_A,47,77191.73,596,0.606,4.3,1
Group_A,49,41408.35,660,0.405,8.5,1
Group_A,48,44547.9,691,0.204,5.6,0
Group_A,55,80260.58,751,0.093,0.0,1
Group_A,28,55086.44,681,0.258,0.0,0
Group_A,36,46004.3,570,0.17,6.0,1
Group_A,56,73116.33,705,0.084,2.9,1
Group_B,50,51212.45,662,0.139,3.9,0
Group_A,38,78493.59,776,0.358,9.8,1
Group_B,22,48053.03,780,0.327,9.0,1
Group_A,33,57127.3,783,0.467,13.2,1
Group_B,24,77009.49,641,0.65,4.7,1
Group_A,46,55927.3,819,0.048,3.4,1
Group_A,45,73608.96,705,0.252,7.7,1
Group_B,50,58820.14,794,0.219,3.8,1
Group_B,31,95670.45,645,0.501,3.9,0
Group_B,27,88238.01,659,0.039,5.2,1
Group_A,51,36094.27,699,0.164,12.6,1
Group_A,30,69400.39,691,0.11,8.8,1
Group_B,59,45304.73,768,0.404,9.2,1
Group_B,33,63447.12,664,0.588,12.4,1
Group_B,51,61230.67,762,0.094,9.6,1
Group_B,27,41003.03,731,0.222,1.5,1
Group_A,56,79052.72,665,0.417,9.5,1
Group_B,40,63659.45,726,0.055,10.1,1
Group_A,24,54875.71,647,0.544,8.6,0
Group_A,27,52114.02,845,0.077,5.2,1
Group_A,21,62515.99,493,0.106,8.2,0
Group_B,33,67342.65,727,0.398,5.9,1
Group_A,42,57750.44,556,0.476,2.1,1
Group_A,41,20000.0,664,0.483,3.1,1
Group_B,42,60304.03,674,0.02,8.8,1
Group_A,48,34053.32,786,0.054,2.4,0
Group_B,29,56229.85,632,0.24,2.8,1
Group_A,46,34717.84,772,0.549,9.0,1
Group_A,29,34503.04,597,0.145,6.5,1
Group_B,35,82232.19,774,0.321,8.3,1
Group_A,30,54238.34,647,0.082,1.1,1
Group_A,44,52860.08,685,0.059,8.2,1
Group_A,28,68685.43,656,0.105,3.4,1
Group_A,44,53329.37,770,0.062,1.9,1
Group_B,36,97868.51,756,0.199,4.0,1
Group_A,46,55085.64,711,0.569,11.4,1
Group_B,47,66572.26,599,0.152,4.5,1
Group_A,57,77476.94,630,0.384,14.8,1
Group_B,24,88840.56,608,0.055,0.0,1
Group_B,44,46643.89,523,0.131,0.0,0
Group_B,39,52476.66,768,0.102,11.3,1
Group_A,56,82942.65,657,0.231,12.3,1
Group_A,59,74581.12,656,0.187,2.5,1
Group_A,30,79353.17,785,0.384,6.3,1
Group_B,45,35363.32,647,0.543,8.8,1
Group_B,38,87864.0,621,0.187,5.1,1
Group_B,39,46294.66,664,0.07,6.6,1
Group_A,56,63461.27,601,0.436,6.0,1
Group_B,30,57331.99,704,0.115,0.1,1
Group_B,53,44187.31,654,0.466,4.6,1
Group_A,25,34574.36,644,0.289,6.0,0
Group_A,55,28610.73,638,0.116,6.4,1
Group_B,54,62142.33,673,0.554,0.0,0
Group_B,53,32544.26,686,0.622,9.0,1
Group_B,41,39591.32,644,0.121,6.5,1
Group_A,37,56075.35,655,0.224,1.8,1
Group_B,42,20000.0,674,0.451,13.2,1
Group_A,57,74021.63,667,0.175,4.6,1
Group_A,35,20000.0,682,0.273,4.9,1
Group_A,55,58607.3,633,0.296,8.6,1
Group_B,48,60270.35,750,0.197,13.5,1
Group_B,27,69685.11,687,0.262,8.7,1
Group_B,52,59249.75,645,0.284,9.3,1
Group_A,31,96322.34,704,0.111,2.0,1
Group_B,30,63893.7,675,0.398,6.3,1
Group_A,29,78965.02,559,0.567,3.9,1
Group_B,34,46977.67,704,0.527,8.8,1
Group_A,33,62173.62,609,0.274,9.2,1
Group_A,45,87856.26,745,0.528,12.5,1
Group_A,22,55721.49,663,0.299,0.0,1
Group_A,55,63460.23,735,0.176,3.5,1
Group_B,27,77655.36,636,0.078,11.2,1
Group_B,41,46639.87,685,0.26,0.4,1
Group_A,38,21091.91,765,0.319,9.2,1
Group_B,23,64600.33,661,0.127,10.5,1
Group_A,59,77796.05,639,0.186,5.9,1
Group_B,31,35673.98,726,0.3,0.3,1
Group_B,59,72063.96,724,0.384,5.5,1
Group_B,44,72185.39,642,0.347,11.8,1
Group_A,39,20000.0,541,0.37,12.2,1
Group_B,24,43146.8,637,0.429,6.8,0
Group_B,46,52875.08,727,0.096,2.1,1
Group_A,58,56766.77,626,0.135,13.0,1
Group_A,52,46623.58,679,0.104,9.3,1
Group_B,59,45653.95,634,0.485,2.4,0
Group_B,56,90086.69,545,0.287,7.4,1
Group_B,60,58063.94,633,0.164,7.2,1
Group_B,57,47489.21,727,0.092,3.5,1
Group_B,53,59258.95,514,0.265,7.4,0
Group_A,56,69667.63,698,0.154,10.4,1
Group_A,23,60929.27,597,0.445,4.8,0
Group_A,29,56296.9,723,0.453,10.8,1
Group_B,28,48299.7,730,0.232,0.0,1
Group_A,53,48081.64,668,0.25,14.9,1
Group_B,26,49239.45,668,0.552,6.2,1
Group_B,59,66098.66,624,0.433,10.3,1
Group_B,24,42104.76,586,0.441,6.9,0
Group_A,33,67078.85,799,0.439,2.7,1
Group_B,22,85433.91,619,0.084,5.9,1
Group_A,25,65862.73,790,0.096,0.0,1
Group_B,47,53347.46,620,0.124,8.8,1
Group_A,52,36633.72,717,0.297,6.8,1
Group_A,41,88405.92,600,0.35,5.2,1
Group_B,28,38939.68,717,0.188,9.0,1
Group_A,58,75274.12,657,0.604,6.2,1
Group_A,28,71493.32,658,0.138,8.4,1
Group_B,23,55738.17,723,0.58,9.8,1
Group_B,23,55266.38,647,0.085,3.8,0
Group_B,42,26957.2,580,0.267,2.7,1
Group_B,26,65941.17,733,0.047,0.0,0
Group_B,22,71158.67,600,0.06,6.5,1
Group_A,43,40396.56,716,0.482,7.8,1
Group_A,22,57195.21,748,0.258,0.7,1
Group_A,58,60681.51,654,0.061,11.7,1
Group_B,37,70522.31,763,0.229,2.7,1
Group_B,55,60068.46,714,0.125,0.0,1
Group_A,54,30726.25,631,0.738,12.0,1
Group_A,43,50461.12,778,0.524,0.0,1
Group_B,50,64043.26,600,0.654,9.9,1
Group_A,28,75147.51,654,0.415,8.9,1
Group_B,42,48882.54,666,0.367,7.3,1
Group_B,56,99377.7,722,0.147,3.9,1
Group_B,25,25899.48,758,0.033,8.0,1
Group_A,33,49853.4,754,0.351,10.2,1
Group_B,49,58505.4,696,0.431,2.1,0
Group_B,51,56386.52,660,0.354,9.9,1
Group_B,36,37821.44,552,0.519,9.7,1
Group_B,50,68061.51,588,0.18,7.2,1
Group_B,36,66679.69,804,0.295,3.8,1
Group_B,32,60863.31,551,0.104,9.7,1
Group_A,37,65973.19,625,0.299,8.0,1
Group_B,36,52372.02,760,0.49,1.9,0
Group_B,32,30887.47,695,0.301,4.5,1
Group_A,28,47100.48,745,0.245,9.3,1
Group_B,40,62826.98,718,0.185,6.5,1
Group_B,23,62929.4,783,0.409,10.3,1
Group_B,36,60744.82,701,0.157,4.6,0
Group_A,50,69876.75,726,0.544,2.0,1
Group_A,43,49539.37,629,0.656,14.8,1
Group_B,48,60480.26,721,0.143,0.0,1
Group_B,60,70297.67,652,0.189,4.0,1
Group_A,25,58471.98,648,0.102,7.1,1
Group_B,40,37620.17,743,0.474,9.9,0
Group_B,60,42693.21,743,0.072,8.6,1
Group_B,21,74955.34,798,0.265,15.2,1
Group_B,50,85064.5,794,0.107,5.5,1
Group_A,41,81155.1,744,0.347,2.5,1
Group_A,40,64178.81,560,0.43,5.1,1
Group_A,26,38343.61,808,0.294,4.7,1
Group_B,42,59885.67,744,0.027,5.7,1
Group_A,38,88120.59,626,0.349,2.1,1
Group_A,28,71132.79,731,0.032,9.1,1
Group_A,59,56265.4,607,0.248,7.5,0
Group_B,52,71315.25,723,0.31,0.9,1
Group_B,53,37150.89,588,0.097,9.9,0
Group_A,36,47477.92,623,0.161,2.8,1
Group_A,32,40484.55,730,0.33,1.3,0
Group_B,58,68452.29,755,0.617,6.3,1
Group_A,54,72853.86,703,0.599,0.0,1
Group_A,34,57231.13,660,0.263,8.4,1
Group_A,56,44287.27,532,0.244,0.0,0
Group_A,53,59644.52,665,0.095,1.9,1
Group_A,43,51241.56,717,0.121,12.3,1
Group_A,22,45668.93,658,0.257,3.3,1
Group_A,41,66101.89,678,0.495,4.0,1
Group_B,22,46356.14,667,0.292,11.1,0
Group_A,47,31805.7,657,0.157,2.8,1
Group_B,29,35805.94,685,0.154,9.1,0
Group_B,21,31141.31,661,0.201,10.7,1
Group_A,31,64455.21,781,0.135,7.9,1
Group_B,23,62707.3,526,0.103,0.2,0
Group_A,43,61809.36,642,0.128,3.6,1
Group_B,46,70579.17,619,0.261,16.9,0
Group_A,24,81455.26,695,0.078,4.0,1
Group_A,38,49339.2,685,0.046,17.9,1
Group_A,26,67316.59,794,0.296,12.8,1
Group_B,55,31566.92,817,0.236,8.1,1
Group_B,42,84816.78,626,0.462,7.2,0
Group_B,35,37593.04,680,0.558,4.1,1
Group_A,42,47218.54,694,0.139,5.6,0
Group_B,57,49241.23,624,0.353,3.2,0
Group_A,32,32527.12,724,0.075,5.7,1
Group_B,58,60586.36,663,0.124,0.6,0
Group_A,38,63850.27,605,0.284,0.3,1
Group_A,55,56590.55,660,0.318,11.2,1
Group_A,50,32275.54,610,0.1,0.0,1
Group_A,44,95700.95,753,0.44,9.5,1
Group_B,50,69886.15,813,0.521,0.0,1
Group_A,34,107416.0,697,0.245,8.5,1
Group_B,26,45508.03,688,0.102,5.2,1
Group_A,23,77241.88,691,0.054,11.3,1
Group_B,36,74026.93,763,0.817,4.7,1
Group_A,27,54769.65,761,0.058,0.0,1
Group_A,34,85398.92,672,0.046,5.2,1
Group_B,29,52702.62,698,0.218,6.6,1
Group_A,35,53503.95,726,0.185,5.5,0
Group_A,41,20000.0,600,0.204,8.3,1
Group_B,55,67362.5,765,0.156,3.7,1
Group_B,22,36140.82,801,0.658,0.9,0
Group_A,47,50087.02,762,0.646,2.0,1
Group_A,22,41528.05,593,0.43,3.9,0
Group_B,55,53407.83,542,0.444,3.9,0
Group_A,38,67989.84,730,0.378,15.6,1
Group_A,34,60200.55,627,0.165,11.0,1
Group_A,40,72773.54,700,0.14,8.7,1
Group_B,38,82781.33,787,0.32,7.8,1
Group_B,30,53361.67,634,0.087,7.2,1
Group_A,45,51385.79,654,0.315,7.2,1
Group_A,22,77239.1,699,0.372,6.7,1
Group_A,45,78666.85,589,0.079,6.2,1
Group_B,53,73330.64,627,0.168,0.0,1
Group_A,56,42860.78,682,0.253,4.5,1
Group_A,51,67607.79,659,0.128,5.0,1
Group_B,34,61970.47,723,0.067,3.0,1
Group_A,21,78945.52,850,0.131,3.8,1
Group_B,36,49688.3,687,0.721,7.2,1
Group_A,23,30001.01,621,0.156,9.1,1
Group_A,55,72424.26,779,0.635,7.2,1
Group_A,26,20000.0,569,0.333,9.0,1
Group_B,45,46832.76,583,0.453,9.0,0
Group_B,33,41582.48,638,0.225,4.8,0
Group_B,54,41461.18,660,0.47,8.1,1
Group_A,28,46517.43,637,0.124,0.0,0
Group_B,41,81912.72,678,0.444,4.5,1
Group_A,54,74770.0,699,0.201,4.0,1
Group_A,24,55468.85,755,0.188,12.1,1
Group_B,45,80405.22,686,0.252,7.3,1
Group_A,35,40878.65,641,0.393,0.7,1
Group_A,24,38430.9,751,0.09,8.4,1
Group_A,32,75544.74,623,0.116,9.6,1
Group_A,52,70433.58,566,0.265,5.6,1
Group_A,52,51715.26,764,0.372,8.8,1
Group_B,48,39561.7,760,0.347,0.0,1
Group_A,33,86275.17,625,0.187,0.0,1
Group_B,51,29038.15,652,0.373,1.3,1
Group_B,34,49228.33,616,0.385,6.6,1
Group_A,40,64114.38,703,0.174,12.1,1
Group_A,38,92438.97,801,0.293,1.5,1
Group_A,49,66895.8,729,0.21,2.6,1
Group_B,26,68645.48,753,0.39,6.4,1
Group_A,52,49751.09,737,0.092,4.0,0
Group_B,49,70232.64,680,0.174,3.8,1
Group_A,22,61895.57,756,0.363,4.3,1
Group_B,43,31407.64,732,0.364,11.3,1
Group_A,39,74272.83,781,0.191,10.5,1
Group_A,51,77467.08,648,0.122,6.1,1
Group_B,25,74460.57,558,0.294,12.6,0
Group_B,39,60599.9,753,0.35,8.0,1
Group_A,54,42788.82,704,0.185,10.6,1
Group_B,30,20000.0,659,0.18,2.6,0
Group_A,45,62826.96,663,0.358,3.4,0
Group_B,22,79474.96,850,0.469,3.3,1
Group_B,31,77919.58,635,0.379,5.7,1
Group_A,51,74689.31,620,0.181,6.2,1
Group_A,35,58664.2,686,0.181,7.3,1
Group_A,29,79574.36,763,0.182,13.9,1
Group_B,43,76634.91,839,0.179,8.9,1
Group_B,39,52392.6,726,0.107,3.9,1
Group_A,29,72178.76,591,0.346,6.0,1
Group_A,55,50352.74,818,0.265,12.0,0
Group_B,41,69720.44,679,0.403,9.1,1
Group_B,29,36615.9,621,0.164,12.0,0
Group_B,48,38000.19,604,0.264,4.1,0
Group_A,27,79047.73,739,0.289,3.2,1
Group_A,36,76876.08,697,0.068,3.2,1
Group_A,36,71405.01,704,0.365,4.4,1
Group_B,53,61583.44,770,0.54,1.7,1
Group_A,24,20000.0,624,0.258,7.2,1
Group_B,24,58652.23,776,0.419,7.2,1
Group_A,59,68175.3,644,0.055,11.4,1
Group_B,60,50374.8,831,0.315,0.0,1
Group_B,37,47175.1,722,0.09,2.2,1
Group_B,57,85999.57,616,0.689,9.2,1
Group_A,59,58914.8,538,0.082,6.7,1
Group_A,49,68186.31,737,0.085,6.2,1
Group_A,56,73934.37,654,0.219,11.1,1
Group_B,58,41974.13,669,0.031,2.0,0
Group_B,59,63477.73,734,0.227,3.1,1
Group_B,57,83753.6,751,0.202,2.6,1
Group_B,55,92746.02,766,0.468,0.0,1
Group_B,27,60718.86,598,0.386,6.5,0
Group_A,47,55717.02,780,0.17,3.9,1
Group_B,48,64842.43,639,0.163,3.1,1
Group_A,42,64385.47,522,0.041,2.3,1
Group_A,34,84961.65,598,0.354,5.9,1
Group_B,27,42064.95,695,0.294,2.8,1
Group_A,57,54962.28,611,0.064,6.9,1
Group_A,42,39891.46,674,0.134,7.8,1
Group_B,25,41782.29,704,0.511,4.8,1
Group_A,22,66778.33,667,0.33,4.6,1
Group_B,47,74577.44,645,0.428,6.7,1
Group_A,41,48310.95,592,0.335,5.9,1
Group_A,58,73897.71,682,0.117,11.3,1
Group_A,35,80008.42,535,0.096,7.3,1
Group_A,41,94824.71,632,0.184,10.4,1
Group_B,30,61255.44,615,0.076,8.4,1
Group_A,43,48484.24,663,0.492,0.7,1
Group_B,59,41955.51,665,0.154,3.8,0
Group_A,25,40167.72,747,0.173,5.8,1
Group_B,21,82496.05,791,0.39,9.5,0
Group_B,33,32728.28,602,0.216,13.7,0
Group_B,41,81919.47,819,0.415,4.1,1
Group_A,46,44368.06,625,0.13,6.2,1
Group_A,41,47666.29,692,0.191,9.2,1
Group_A,38,57272.0,716,0.191,5.8,1
Group_B,57,47334.22,850,0.444,12.6,1
Group_A,52,76775.64,642,0.341,0.6,1
Group_A,56,92640.19,554,0.105,8.7,1
Group_B,37,48166.22,784,0.117,8.7,1
Group_A,55,52219.72,622,0.444,10.6,0
Group_B,31,57060.23,655,0.148,6.2,1
Group_A,41,69739.02,602,0.254,9.6,1
Group_A,46,57237.28,655,0.622,5.0,1
Group_B,24,84970.63,621,0.665,2.8,1
Group_A,54,80639.23,727,0.588,2.2,1
Group_B,38,38661.68,686,0.249,0.2,1
Group_A,60,69377.43,632,0.367,4.2,0
Group_A,55,87366.11,750,0.364,7.2,1
Group_B,49,51093.94,698,0.162,5.2,1
Group_B,49,54703.23,551,0.286,6.8,0
Group_B,58,50495.33,744,0.196,10.9,1
Group_A,41,50872.64,693,0.253,3.9,1
Group_B,33,29967.87,777,0.132,15.4,1
Group_A,37,36090.33,689,0.087,9.0,1
Group_A,29,61394.53,625,0.389,5.2,1
Group_B,21,87244.76,666,0.218,5.1,1
Group_A,22,48959.51,736,0.195,2.0,1
Group_B,49,48430.37,626,0.337,5.9,1
Group_A,53,90627.38,649,0.266,0.0,1
